address,name,size,calls,called_by,decompiled
1000:0000,entry_1000_0000,391,36,0,1
1000:0187,FUN_1000_0187,50,0,1,1
1000:01b9,FUN_1000_01b9,146,3,1,1
1000:024b,FUN_1000_024b,31,0,1,1
1000:026a,FUN_1000_026a,18,0,6,1
1000:027c,FUN_1000_027c,26,0,4,1
1000:0296,FUN_1000_0296,45,0,4,1
1000:02c3,FUN_1000_02c3,30,0,3,1
1000:02e1,FUN_1000_02e1,24,0,4,1
1000:02f9,FUN_1000_02f9,24,0,4,1
1000:0311,FUN_1000_0311,372,4,1,1
1000:04b8,FUN_1000_04b8,99,13,3,1
1000:051b,FUN_1000_051b,48,9,1,1
1000:054b,FUN_1000_054b,412,22,1,1
1000:06e7,FUN_1000_06e7,67,4,1,1
1000:072a,FUN_1000_072a,18,1,1,1
1000:0ccc,FUN_1000_0ccc,23,0,10,1
1000:0ce3,FUN_1000_0ce3,8,0,1,1
1000:0ceb,FUN_1000_0ceb,31,0,8,1
1000:0d0a,FUN_1000_0d0a,8,0,6,1
1000:0d12,FUN_1000_0d12,12,0,13,1
1000:14c9,FUN_1000_14c9,31,1,1,1
1000:14e8,FUN_1000_14e8,48,1,1,1
1000:191c,FUN_1000_191c,394,22,1,1
1000:1aa6,FUN_1000_1aa6,84,10,1,1
1000:1afa,FUN_1000_1afa,101,10,1,1
1000:20f0,FUN_1000_20f0,494,20,1,1
1000:22de,FUN_1000_22de,137,10,1,1
1000:32cc,FUN_1000_32cc,102,5,1,1
1000:3332,FUN_1000_3332,726,7,1,1
1000:3608,FUN_1000_3608,511,36,1,1
1000:3807,FUN_1000_3807,23,0,1,1
1000:383e,FUN_1000_383e,520,29,1,1
1000:3a67,FUN_1000_3a67,287,17,1,1
1000:3b86,FUN_1000_3b86,249,10,1,1
1000:3c7f,FUN_1000_3c7f,173,1,1,1
1000:3d2c,FUN_1000_3d2c,50,4,3,1
1000:3d5e,FUN_1000_3d5e,195,2,6,1
1000:3e21,FUN_1000_3e21,119,1,5,1
1000:3e98,FUN_1000_3e98,47,0,1,1
1000:3ec7,FUN_1000_3ec7,99,4,2,1
1000:3f2a,FUN_1000_3f2a,56,1,2,1
1000:3f62,FUN_1000_3f62,222,6,2,1
1000:4040,FUN_1000_4040,291,7,2,1
1000:4163,FUN_1000_4163,82,2,5,1
1000:41b5,FUN_1000_41b5,39,1,4,1
1000:41dc,FUN_1000_41dc,107,5,2,1
1000:4247,FUN_1000_4247,189,6,2,1
1000:4304,FUN_1000_4304,112,6,2,1
1000:4374,FUN_1000_4374,172,7,1,1
1000:4420,FUN_1000_4420,119,5,1,1
1000:4497,FUN_1000_4497,69,5,1,1
1000:44dc,FUN_1000_44dc,58,4,1,1
1000:4516,FUN_1000_4516,67,4,1,1
1000:4559,FUN_1000_4559,53,4,1,1
1000:458e,FUN_1000_458e,89,4,1,1
1000:45e7,FUN_1000_45e7,55,4,1,1
1000:461e,FUN_1000_461e,58,5,1,1
1000:4658,FUN_1000_4658,123,9,1,1
1000:46d3,FUN_1000_46d3,278,5,1,1
1000:47e9,FUN_1000_47e9,43,3,1,1
1000:4814,FUN_1000_4814,54,4,12,1
1000:484a,FUN_1000_484a,55,1,4,1
1000:4881,FUN_1000_4881,84,7,3,1
